latitude,longitude,month,price,region
40.3440996,-3.6919839,1,20.0,San Cristóbal
40.3440996,-3.6919839,2,21.0,San Cristóbal
40.3440996,-3.6919839,3,21.0,San Cristóbal
40.37207564071759,-3.693982732852044,7,67.0,Usera
40.3789571457818,-3.6703623401582193,2,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,3,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,4,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,5,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,6,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,7,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,8,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,9,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,10,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,11,98.0,Puente de Vallecas
40.3789571457818,-3.6703623401582193,12,98.0,Puente de Vallecas
40.38117,-3.67741,2,95.0,Puente de Vallecas
40.38117,-3.67741,7,95.0,Puente de Vallecas
40.38497,-3.68699,1,65.0,Arganzuela
40.38545,-3.68701,1,66.2,Arganzuela
40.38545,-3.68701,2,68.0,Arganzuela
40.38557,-3.73213,6,104.0,Carabanchel
40.38557,-3.73213,12,108.0,Carabanchel
40.3873206,-3.7134131,1,33.0,Usera
40.3873206,-3.7134131,2,33.0,Usera
40.3873206,-3.7134131,3,31.636363636363637,Usera
40.3873206,-3.7134131,4,30.0,Usera
40.3873206,-3.7134131,5,30.0,Usera
40.3873206,-3.7134131,7,30.0,Usera
40.3873206,-3.7134131,8,30.0,Usera
40.3873206,-3.7134131,9,30.0,Usera
40.3873206,-3.7134131,10,30.0,Usera
40.3873206,-3.7134131,11,30.0,Usera
40.3873206,-3.7134131,12,30.0,Usera
40.38901,-3.64185,1,29.0,Puente de Vallecas
40.3903989,-3.653871499999999,1,23.0,Puente de Vallecas
40.39158122943353,-3.743352767434202,2,64.0,Latina
40.39158122943353,-3.743352767434202,3,64.0,Latina
40.39158122943353,-3.743352767434202,4,64.0,Latina
40.39158122943353,-3.743352767434202,5,64.0,Latina
40.39158122943353,-3.743352767434202,6,70.0,Latina
40.39158122943353,-3.743352767434202,7,64.0,Latina
40.39158122943353,-3.743352767434202,8,64.0,Latina
40.39158122943353,-3.743352767434202,9,64.0,Latina
40.3919779,-3.6669782,1,30.0,Puente de Vallecas
40.3935985,-3.7554556,12,213.66666666666666,Latina
