,check-in date,check-out date,year,month,name,price,lat,lng,room type,url
0,2024-11-01,2024-11-02,2024,11,Relais & Châteaux Hotel Orfila,€ 597,40.42738257,-3.69309336,Superior Double Room with Parking Included,https://www.booking.com/hotel/es/relais-chateaux-orfila.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=9279401_203698989_0_2_0&highlighted_blocks=9279401_203698989_0_2_0&matching_block_id=9279401_203698989_0_2_0&sr_pri_blocks=9279401_203698989_0_2_0__59688&from=searchresults#hotelTmpl
1,2024-11-01,2024-11-02,2024,11,Hotel Fenix Gran Meliá - The Leading Hotels of the World,€ 420,40.42651379,-3.68932888,Classic Double Room,https://www.booking.com/hotel/es/hotel-fenix-gran-melia.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=9158401_246105086_2_34_0&highlighted_blocks=9158401_246105086_2_34_0&matching_block_id=9158401_246105086_2_34_0&sr_pri_blocks=9158401_246105086_2_34_0__42000&nad_id=01559fef-20ba-497a-8172-b20b0146f7ff_0&nad_cpc=2.65&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05VWkRlM2NzVWRZNTdhRlhraTMvdHRIUlh6QXlYaElNYlgvR2V5Nnp2YjJoQjZWakt4NDgvNFlnbWFheEtVR2lPRnkwdCtEVFA2aGZvbXViNWpSTVNpL0hQVGhGZ1VleDZxQnkwQXoyb3oza2w0cE1aS3E2RncvQjRzcXRaSDVlNUpNVFVRTnRWZkJXU0lpckdWZTZCeG1PTVlkWUUxcHlxeFQyOTFUc081OEpOMjhBLzZUSWV2ZGl3Ykd3R3NqTWEvY3VsUFh6M2ZnMWlJOFcrOFZKNkxFeE0xUDZkNmFxejFzbHVRQzhtc09DS0lidU1Ma0pla0lvMUo0U1dWakRLMGRzTlZSck5hSXVveDBWQkZ2bi9Kblozd3dCcGthYVlkY3EyTmNEbExXRXFxZDdheTZ5ajRKMzNFenpqeUhKN0M5WTY1cGgwclFFSWhiUFkzeXR2ZjdjQTZuS3Vic2ljZm5JaE9KdW4xcG83ZThTQTNOenNNbXBOV0RSTUZ1OE50QmJKaGtKaHEzSEpYejRCaUtMZFhsb3o2alFWcGF1bEsvSnR2cWN0R0J4WTh0bUtZcDBxb0d1QnFPaWRLMGt6RmNEWFEzRnJNOTQvN1dCTWpHLzNrbU9vNzI5bGhYd1VnTFVkYTV6bmJhWkV5NUFDb2pQQUlzdzlMVkUxT2JMKzZaS1plRkJiY3Nyem5JWC9wU0NYUHRaczA1OWx1NDNIcHFIQjZwY1J0VWg0Y3pFV20xN3g2WVVYVThLZFdaSEJxRm9tU1RPaVdEWkFTYmlnVFRnVUdiQ0Rvc0RPOGU4T1FmYks5VXMvbzE1a1k1RWRORWZrREZoU0ZkMlBveFB3RHBpSGxhZGVSMkdNMThnUnlVa05NWVZiMkxIT1M3SHhZMU1zQjUzQncxT05NUnI2RU85YXFNREpsZUFLMk1rMzRuaVZUbktRRGhYQy9mQlBoRXo0ZGl2ZWxROFAyc3AyL2dOT1JBZXlkY1ZZeW1oZGNVdHh3Mi8wTXlRTUVFcE5ZaW5rSzFyejdScFVreXZwMWtoRFVBVkJjSWhtTFpDRHJhRDBvUEIrZFh1enZsUWlDc0g5VEFHbmR2bDEyekZQM3RNUExpcFpmUG52cUNhVkg3dGdzUmZRWTJ2cG44cUR5OUp0dWJDQ0JYQ1JjM1l4VWJ2SlByQjdqcEs1SnpXUzFKY21UcC8rV0l5OGxqbHhwTmhEVFJTNkhGQ1lKT3kyRXlkbGRWZ1lMQlNRc054d2NhWHJCNjZEbndaWU9LVVZnVXprNnRoWWMzVU9HOFhoSFk4SWVER0NaVm1QVllWeWlEZ2RYR01qZTc0SXBHZmJmNkRLbmQzdDM3Y3Y4QXo4eVB4emNYU0RVZ0dzbHIzVzJLLzlXVHJzbjgyU2NZZW5XNUdpbVhpSWNnMncra2hnUTBxMHpxTjNlNGhtSlRYTEhROFJ6a3VQT2Z4VysvTytCMmh2Zk4yWkxVM0JkTjJUVFVBQm9DVHUwM3R2Y0dhZzdocXZmQndtZjNPSThGSS8rNWtLTU1oMm95NU85bHgreWJiYmVqOTQ2YnB1R0d5b2s2UFNkMklWa3ZVbUNnN0FoNVJJeGpYUjFjbE5leXV0VWVFWm02ZEk4NjNqN1lvS1Q0dTdUYTB2eUE0VXcvajJvajJSR21oc1FoZkh2R0R6MDUzaUV4WktaRG9wSVZrSXV4dXNTOWs4Q0RYVE53cHR2dTBqRXdzQ2NuOTA0blhESFpYYlhjUGFweEZ3eHNPdlVGM3p6SlA4TDhlRG9sdExOK1FsVms4OXFDSlMraVdMMlF1YWx5YXQzbEVwSm5NQUIxTlZ4Y05RTFpVcllmSFJ4NE1BTDVJN3NRZEVyamJpKzhNaTg0OW1Jb0w3VVJZOGY4UzQ0ZHJ2K29sRjhHdmlRNm9IanNkaDM2aDFCbERsSVNNcmVkSEJYeFpVdEVpclFiY0ZRWDVlUmVCOUpRcER4TUpWVmdqaGgvZ2ordWw1ZitUNm9qeU03eXZzek5XYmp2cFAwaHNLWCtkdFI5bFp6amgxRExFRE1qUjRLZlRxbmVtL3lQZGNXaExDWUNpQkJNSmRQNS9HMDN4SVJ6ekRlSXlwMytDdjAzNVI0Z0lNMUVoYVg0QWgzSXJjYVhqcDRGQ3ovbHFuK2FickI5YXJGMTE2bFRmRDdyTnVQUG9hZzNqbU1xMmpTcjg1OStOU1o3d2g0aS9DUUdqU2tlYTdYRERPZWhaVUF0a1VuSFhZbW1XQmJ5aWZoa2cvcEVRazJqNTBvUXBPNjZkWTZLRlgrb2tNclVOYlRzWlI5cUswcldrbW85UGg4MFdyajl2RUR4VUQrRWNjcXhiZXhZeHRWZGFMeWk3ZEZMWDJ4UEM0UUhLMmFOQ3ZVTE9TcFlTWnkrUVY4RzNFMXo1cGorMmJJc0wrNTFKZitqZXhFVzYySndzV2xnR1pld2gvMW9BSlh1WHZ3ODQ2czNheHN5MUVSc25rb25adHFEU1BncmU1eXBOd2pMVFUxbCtIMGZhODM3NzdjTWFRN0lyUEpteFFFMDFZRHprTzFZY3AwbE9Dd2xONXBLS1RtZVpTSFJNcU13WFF2cFMxUit1dkJlR2U1ak1Vb3RMTTlER29iQUx1NHdlVDRFTDRMYkNuaktPOCs1U3ozZnMzd0NvMkRPSUs1clZ6eTMrR0E4aU9CcWlOSnMxMDcrQ0Zaa3dlWGJjYTVIN3NqcjcyaGdwNEg2UkZ3MFBVWDRvTjdIWUl1S09XZkw3Wkp5Y082TzZxbGFuKzZaWU1UVGVPcGpPeEVtRGVJYjBRWnVGRHVaUDFNUUhVdEtJQlozTDE1MDM1N094Y3ZoUzdTd3JUWmY1WWpWUUhodURWTVgzRGQ5TGVoRVZUZ2E4QVQ2bG51YlFvbUlaWWxkM3l5NEJJYXNMK3kwa0tGNjVuTzdkM3ZrSjJ6NEQ2UjB5bXNQcUtsOHNTNmZpa1ZxK2Z2N1p5TWtNaG5vOXZMdDJtR1JmcG5uMzNabnVaeWRpRllHeVc3QWNVZEZ1LzdnQWp6cWFUSkk0MS9tUVR0Z1BxZHNjQm10clhWcXphanQrZHRjeS81QllqRmZJMC9jeC9EUndFWGhuME1xVVhVUTdDL1RUWmMwRU0weC9RcjVxMjdwU0VzNlZFcmJNSVA5N1FqRW94bGRMaUczL3BoY1Nob2tIUkZvajh4NUREc3I2ZzloRE5zU3NQNVNmYkdVL1ZzWmJFSGc3STBndlVyaFFiOWxISzBUcXJieEpvUmRya1M0T0N2TngrUFI1WHVmZ2xYZ2J4TmptM29wbDhRa20vdTRLWGd1OGJLK0Qybm5BVDBTd2EzM1MxY1BLWlh4ZVNneDhSVm0ycnB0bFJnbEdGejdDaXJscFpYaGhza3lYUkRCMzRPbFpYZHg0M2RYL1pYWGF1TjFZWUZ5MEMwdDhnMXdxWXVlK29NMWR5Z3dWV0VsUWdwYzhUamhnU0krUXRmUTBkWjRmeWEwMnM1Z3ZKK2Q3QWtiaHpMamtrQ2xLdldMM3RZbGVWQmMwaUNSNnFJb1Nhd3NoajRKYzYvTC9mRGRLaTF3c21hSlF6Zlh6OEFBRDFmV2d2RGx1Mzh1WEpGZ3ZKbHFkMFNWdUJzL2hPbkErMmJVR1JuaFVvVW9xY25lT1F0WkhCQTdJWUJJVHBPMDJJb01nMGJMR1duR2ZlNWlQUUxYWTFVM3FhQXg5ZGxGd3RXQXZCazRkOUlEK0sifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2,2024-11-01,2024-11-02,2024,11,Ok Hostel Madrid,€ 41,40.41112159,-3.70678928,Bed in 6-Bed Mixed Dormitory Room,https://www.booking.com/hotel/es/ok-hostel-madrid.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=157819905_88582901_0_34_0&highlighted_blocks=157819905_88582901_0_34_0&matching_block_id=157819905_88582901_0_34_0&sr_pri_blocks=157819905_88582901_0_34_0__4074&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3,2024-11-01,2024-11-02,2024,11,Riu Plaza España,€ 257,40.42369331,-3.71080033,Deluxe Twin,https://www.booking.com/hotel/es/riu-plaza-espana.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=420450702_192200817_2_1_0&highlighted_blocks=420450702_192200817_2_1_0&matching_block_id=420450702_192200817_2_1_0&sr_pri_blocks=420450702_192200817_2_1_0__25659&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4,2024-11-01,2024-11-02,2024,11,Hostal Milan,€ 87,40.42073614,-3.70556280,Single Room,https://www.booking.com/hotel/es/hostal-milan-madrid1.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=120061301_382602177_0_0_0&highlighted_blocks=120061301_382602177_0_0_0&matching_block_id=120061301_382602177_0_0_0&sr_pri_blocks=120061301_382602177_0_0_0__8700&from=searchresults#hotelTmpl
5,2024-11-01,2024-11-02,2024,11,Hotel Gran Legazpi,€ 67,40.39187083,-3.69594321,Single Standard,https://www.booking.com/hotel/es/grand-legazpi.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=0_0_1_0_0&highlighted_blocks=0_0_1_0_0&matching_block_id=0_0_1_0_0&sr_pri_blocks=0_0_1_0_0__6744&from=searchresults#hotelTmpl
6,2024-11-01,2024-11-02,2024,11,SLEEP'N Atocha - B Corp Certified,€ 106,40.40909293,-3.69301558,Economy Small Single Room,https://www.booking.com/hotel/es/sleep-n-atocha.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=47203706_91930352_0_2_0&highlighted_blocks=47203706_91930352_0_2_0&matching_block_id=47203706_91930352_0_2_0&sr_pri_blocks=47203706_91930352_0_2_0__10620&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
7,2024-11-01,2024-11-02,2024,11,Hotel Liabeny,€ 185,40.41868098,-3.70398045,Budget Single Room,https://www.booking.com/hotel/es/liabeny.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=9109923_243305201_0_42_0&highlighted_blocks=9109923_243305201_0_42_0&matching_block_id=9109923_243305201_0_42_0&sr_pri_blocks=9109923_243305201_0_42_0__18468&from=searchresults#hotelTmpl
8,2024-11-01,2024-11-02,2024,11,Gran View Apartments,€ 156,40.42075423,-3.70645164,Executive 1 Bedroom Apartment,https://www.booking.com/hotel/es/gran-view-apartments.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=698727601_287987807_2_2_0&highlighted_blocks=698727601_287987807_2_2_0&matching_block_id=698727601_287987807_2_2_0&sr_pri_blocks=698727601_287987807_2_2_0__15600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9,2024-11-01,2024-11-02,2024,11,Rafaelhoteles Atocha,€ 168,40.40146032,-3.68706107,Double or Twin Room,https://www.booking.com/hotel/es/rafaeltocha.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqmlvKsGwAIB0gIkZTAwNmE0ZTYtN2VkZi00MjBmLTg1MzMtOTcxZTM5M2RiNDBj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-01&checkout=2024-11-02&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=55215554dd900104&srepoch=1701778091&all_sr_blocks=9029109_91462661_0_2_0&highlighted_blocks=9029109_91462661_0_2_0&matching_block_id=9029109_91462661_0_2_0&sr_pri_blocks=9029109_91462661_0_2_0__16830&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
