,check-in date,check-out date,year,month,name,price,lat,lng,room type,url
0,2024-12-03,2024-12-04,2024,12,Hostal Alfaro,€ 255,40.41530745,-3.69904719,Double Room with Balcony,https://www.booking.com/hotel/es/hostal-alfaro.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=76843202_295357870_0_0_0&highlighted_blocks=76843202_295357870_0_0_0&matching_block_id=76843202_295357870_0_0_0&sr_pri_blocks=76843202_295357870_0_0_0__25480&from=searchresults#hotelTmpl
1,2024-12-03,2024-12-04,2024,12,Hotel Fenix Gran Meliá - The Leading Hotels of the World,€ 380,40.42651379,-3.68932888,Classic Double Room,https://www.booking.com/hotel/es/hotel-fenix-gran-melia.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=9158401_246105086_2_34_0&highlighted_blocks=9158401_246105086_2_34_0&matching_block_id=9158401_246105086_2_34_0&sr_pri_blocks=9158401_246105086_2_34_0__38000&nad_id=0ca0e00f-982c-4c75-a97c-c0c348dcd739_0&nad_cpc=2.65&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05VWkRlM2NzVWRZNTdhRlhraTMvdHRIUlh6QXlYaElNYlgvR2V5Nnp2YjJoQjZWakt4NDgvNFlnbWFheEtVR2lPRnkwdCtEVFA2aGZvbXViNWpSTVNpL0hQVGhGZ1VleDZxQnkwQXoyb3oza2w0cE1aS3E2RncvQjRzcXRaSDVlNUpNVFVRTnRWZkJXU0lpckdWZTZCeG1PTVlkWUUxcHlxeFQyOTFUc081OEpOMjhBLzZUSWV2ZGl3Ykd3R3NqTWEvY3VsUFh6M2ZnMWlJOFcrOFZKNkxFeE0xUDZkNmFxejFzbHVRQzhtc09DS0lidU1Ma0pla0lvMUo0U1dWakRLMGRzTlZSck5hSXVveDBWQkZ2bi9Kblozd3dCcGthYVlkY3EyTmNEbExXRXFxZDdheS9mMjZKenlRRC91eUhVbVdvVTY1cGwrb1FFSTBPYlozeTVpZUxBRHRYWDlicHFkS0hJaE9KdW4xcG83ZThTQTNOenNNbXBOV0RSTUZ1OE50QmJKaGtKaHEzSEpYejRCaUtMZFhsb3o2alFWcGF1bEsvSnR2cWN0R0J4WTh0bUtZcDBxb0d1QnFPaWRLMGt6RmNEWFEzRnJNOTQvN1dCTWpHLzNrbU9vNzI5bGhYd1VnTFVkYTV6bmJhWkV5NUFDb2pQQUlzdzlMVkUxT2JMKzZaS1plRkJiY3Nyem5JWC9wU0NYUHRaczA1OWx1NDNIcHFIQjZwY1J0VWg0Y3pFV20xN3g2WVVYVThLZFdaSEJxRm9tU1RPaVdEWkFTYmlnVFRnVUdiQ0Rvc0RPOGU4T1FmYks5VXMvbzE1a1k1RWRORWZrREZoU0ZkMlBveFB3RHBpSGxhZGVSMkdNMThnUnlVa05NWVZiMkxIT1M3SHhZMU1zQjUzQncxT05NUnI2RU85YXFNREpsZUFLMk1rMzRuaVZUbktRRGhYQy9mQlBoRXo0ZGl2ZWxROFAyc3AyL2dOT1JBZXlkY1ZZeW1oZGNVdHh3Mi8wTXlRTUVFcE5ZaW5rSzFyejdScFVreXZwMWtoRFVBVkJjSWhtTFpDRHJhRDBvUEIrZFh1enZsUWlDc0g5VEFHbmR2bDEyekZQM3RNUExpcFpmUG52cUNhVkg3dGdzUmZRWTJ2cG44cUR5OUp0dWJDQ0JYQ1JjM1l4VWJ2SlByQjdqcEs1SnpXUzFKY21UcC8rV0l5OGxqbHhwTmhEVFJTNkhGQ1lKT3kyRXlkbGRWZ1lMQlNRc054d2NhWHJCNjZEbndaWU9LVVZnVXprNnRoWWMzVU9HOFhoSFk4SWVER0NaVm1QVllWeWlEZ2RYR01qZTc0SXBHZmJmNkRLbmQzdDM3Y3Y4QXo4eVB4emNYU0RVZ0dzbHIzVzJLLzlXVHJzbjgyU2NZZW5XNUdpbVhpSWNnMncra2hnUTBxMHpxTjNlNGhtSlRYTEhROFJ6a3VQT2Z4VysvTytCMmh2Zk4yWkxVM0JkTjJUVFVBQm9DVHUwM3R2Y0dhZzdocXZmQndtZjNPSThGSS8rNWtLTU1oMm8wd3lubFZKNlpDdk9UVmFuS2dTVFcvd2p1THZHMmdPMXR3N2ZRakpwNnBtMUNpb2lzMGhJZ2lyUnVVR3pLZEk4NjNqN1lvS1Q0dTdUYTB2eUE0VXcvajJvajJSR21oc1FoZkh2R0R6MDUzaUV4WktaRG9wSVZrSXV4dXNTOWs4Q0RYVE53cHR2dTBqRXdzQ2NuOTA0blhESFpYYlhjUGFweEZ3eHNPdlVGMzNrY2VxZjhYU3Axc1ROK1FrVms4NnFYUlNvaUxYaVF2TGwzai9qMU1xSm44RVgxWlZ4Y05RTFpVcllmSFJ4NE1BTDVJN3NRZEVyamJpKzhNaTg0OW1Jb0w3VVJZOGY4UzQ0ZHJ2K29sRjhHdmlRNm9IanNkaDM2aDFCbERsSVNNcmVkSEJYeFpVdEVpclFiY0ZRWDVlUmVCOUpRcER4TUpWVmdqaGgvZ2ordWw1ZitUNm9qeU03eXZzek5XYmp2cFAwaHNLWCtkdFI5bFp6amgxRExFRE1qUjRLZlRxbmVtL3lQZGNXaExDWUNpQkJNSmRQNS9HMDN4SVJ6ekRlSXlwMytDdjAzNVI0Z0lNMUVoYVg0QWgzSXJjYVhqcDRGQ3ovbHFuK2FickI5YXJGMTE2bFRmRDdyTnVQUG9hZzNqbU1xMmpTcjg1OStOU1o3d2g0aS9DUUdqU2tlYTdYRERPZWhaVUF0a1VuSFhZbW1XQmJ5aWZoa2cvcEVRazJqNTBvUXBPNjZkWTZLRlgrb2tNclVOYlRzWlI5cUswcldrbW85UGg4MFdyajl2RUR4VUQrRWNjcXhiZXhZeHRWZGFMeWk3ZEZMWDJ4UEM0UUhLMmFOQ3BVTEdUcFlHY3krSVUrV2pMMGpwdTVwV1ZMSS9uOUVWZjRUcXdCbm1pSXhzQWtRR0Vmd0E0enBnYlh1WHUzOU03cjJ1dzFrbEVUTVBrcUh4dHdreUJqUEc0Mll4NmlxWFozMHJBeWU2ODBiQzRmY2FUOUpqU0xubEhDRWxRQkNNYndKb3YweCthbmxSMHU3VGFsNmxRRmhJak1RcmN0dE90WCt1aEM3ZVA4RFFXc2NYTjdqZXBJQnFQNVhhZHQwVHVPcXVxeXJ1ays1cTlpdjBoMXpzZ0MrSWQ3Ymhwa0dlZVpOaUpkcWFEY05obit1S1VlMHNYR0s5YnZUM3BuNmZ1Z1Z0Z0ZMbExna2paV1lJNTJuRkVvTHVHZnJ6ZlBqc085L09yaEtmd3FKMEJTeis2a0RTQUtXWEdCNDBaWDhsUnVaMjhLUm13a3I0QWRXKzJzazIycHVwWHNDaS9ZUkdFSy81UW4xUURtZVhKTFgvY1pjcmV5dzlaaGFJZVRyVWc3YVkraXM0Zmg5SG54N3hDUm8rM3l6ZE5JS0JnUDdNNjRrSStpSkwyVWtDYW9keU9pNWxONlliallhR1l1N0kvYmtOcXpvZG9NWXJzR1dQcC9IMjNLMlRVZ011VGN6TGI4UVVJT3hLcytCTjhoYUdmY3RFMXN6RVQ3eGFyZThNSG45U1hVdTNVdzU2ZDdaeXE0Qkk1TCtrQzVNRitIbEZKVHhEMUtMTk9BQjdEeHlycGZFOGIyd1RYNHM2MnNjWER2YXNiOHYwVUo4TEZpVW91bU5yc0ZuaW4ydGUzc1E2R0I0L3IyNWJVdUtQcnFBUGJvbXBJN0N2ZUFFTEVzNTdPVlZEYjJ3L2VyUmdCNFJDTjJEYXVkUWRwVU56Z1dKK01vWmNnTGhkVHN2a3FSaE8rZFM2enNaTnBSRjZsL012YnplMENhNjZxem1rQzNSQVo3SDIyYmIvUlRRT1hnUWhOQm5TNnF1VlNzVmlHMG9Da2lGNUZERWRzeW12YkJScnBDMEY5WmhrZ2FYbk9ZV0tZTkdBVUlTdEptdDlwalIrRnUrTy9ORkY1dndsdFdRb3pydElBd0ZNVUZmUUxlUkV5YTd5NU5WNjY5VWlkODlyWGlxNS9GVDhMQ2dEMlNxdi9JUU9mQWRvNUh4S1JKS3VVa0o5eDlvVjVyTG5LRGR1cTFUVXBSNVJoSkc3cUVrT2xlMzB2QjFPMXpPcm1HRm1laExGbUJBcVRwZjlZeWtiNklrT0kzbHRtR1l5Um5QV3FycXFLWGJJYkY0amdPbGVRb0pCM1I2TzluWExZNGpETWFEVTFTeVhNeXNOSUxIajlkaUhkc0RpRUx4di9YLzA9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
2,2024-12-03,2024-12-04,2024,12,GRAN VIA capitals by MONARO*****,"€ 15,045",40.42189295,-3.70877527,Superior Apartment,https://www.booking.com/hotel/es/gran-via-capitals-by-monaro.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=1079706902_380564750_1_0_0&highlighted_blocks=1079706902_380564750_1_0_0&matching_block_id=1079706902_380564750_1_0_0&sr_pri_blocks=1079706902_380564750_1_0_0__1504500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
3,2024-12-03,2024-12-04,2024,12,Ok Hostel Madrid,€ 29,40.41112159,-3.70678928,Bed in 6-Bed Mixed Dormitory Room,https://www.booking.com/hotel/es/ok-hostel-madrid.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=157819905_88582901_0_34_0&highlighted_blocks=157819905_88582901_0_34_0&matching_block_id=157819905_88582901_0_34_0&sr_pri_blocks=157819905_88582901_0_34_0__2910&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
4,2024-12-03,2024-12-04,2024,12,Riu Plaza España,€ 199,40.42369331,-3.71080033,Deluxe Twin,https://www.booking.com/hotel/es/riu-plaza-espana.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=420450702_192200817_2_1_0&highlighted_blocks=420450702_192200817_2_1_0&matching_block_id=420450702_192200817_2_1_0&sr_pri_blocks=420450702_192200817_2_1_0__19936&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
5,2024-12-03,2024-12-04,2024,12,Catalonia Atocha,€ 115,40.41184389,-3.69792804,Single Room,https://www.booking.com/hotel/es/catalonia-atocha.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=26609345_194582517_1_2_0&highlighted_blocks=26609345_194582517_1_2_0&matching_block_id=26609345_194582517_1_2_0&sr_pri_blocks=26609345_194582517_1_2_0__11500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
6,2024-12-03,2024-12-04,2024,12,Ibis Madrid Centro las Ventas,€ 121,40.43051355,-3.66425693,Double Room,https://www.booking.com/hotel/es/ibis-madrid-centro-las-ventas.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=44806301_93756763_2_2_0&highlighted_blocks=44806301_93756763_2_2_0&matching_block_id=44806301_93756763_2_2_0&sr_pri_blocks=44806301_93756763_2_2_0__12150&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
7,2024-12-03,2024-12-04,2024,12,UVE Marcenado,€ 59,40.44564375,-3.67282659,Single Room,https://www.booking.com/hotel/es/ahm-apartahotel-marcenado.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=26510304_334335298_0_2_0&highlighted_blocks=26510304_334335298_0_2_0&matching_block_id=26510304_334335298_0_2_0&sr_pri_blocks=26510304_334335298_0_2_0__5900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
8,2024-12-03,2024-12-04,2024,12,Hostal Aresol,€ 56,40.41702283,-3.70531350,Single Room,https://www.booking.com/hotel/es/hostal-aresol.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=1436001_276039774_1_0_0&highlighted_blocks=1436001_276039774_1_0_0&matching_block_id=1436001_276039774_1_0_0&sr_pri_blocks=1436001_276039774_1_0_0__5645&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
9,2024-12-03,2024-12-04,2024,12,NH Madrid Zurbano,€ 112,40.43859914,-3.69287744,Single Room,https://www.booking.com/hotel/es/nhzurbano.html?aid=304142&label=gen173nr-1FCAQoggI4-gNIMVgEaEaIAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtjnvKsGwAIB0gIkMmYyYjRmMjUtMTg3Zi00ZTUwLWE0NWEtNDlkZGM5NTE2MWZi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-12-03&checkout=2024-12-04&dest_id=-390625&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f46265ecb972024e&srepoch=1701786586&all_sr_blocks=9067505_93708927_0_2_0&highlighted_blocks=9067505_93708927_0_2_0&matching_block_id=9067505_93708927_0_2_0&sr_pri_blocks=9067505_93708927_0_2_0__11200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
